序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广东省第二中医院,戈焰,,,主任中医师、教授、硕士,广东省名中医、主任中医师、教授、硕士研究生导师,高,疑难重症,难治,难治性胃炎、萎缩性胃炎伴肠上皮化生、不典型增生，上消化道出血、功能性肠病、乙型肝炎、肝硬化。,广东省名中医、主任中医师、教授、硕士研究生导师 广东省中医药学会消化病专业分会副主任委员、广东省中西医结合学会脾胃消化病分会副主任委员、广东省中医药学会内科分会副主任委员。,广东省名中医、主任中医师、教授、硕士研究生导师,广东省中医药学会消化病专业分会副主任委员、广东省中西医结合学会脾胃消化病分会副主任委员、广东省中医药学会内科分会副主任委员。擅长难治性胃炎、萎缩性胃炎伴肠上皮化生、不典型增生，上消化道出血、功能性肠病、乙型肝炎、肝硬化。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=569,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,科室需人工复核,待人工复核
2,广东省第二中医院,李爱华,,,主任中医师、教授,院名中医、主任中医师、教授,高,慢性病、疑难重症,高血压、冠心病、疑难,中医中药辩证诊治内科各种常见及疑难疾病，尤其擅长治疗脑血管疾病及神经内科疾病，如头痛、玄晕、神经痛、脑梗塞、失眠、抑郁、癫痫、面瘫、高血压等病，同时对冠心病、胃肠、肝胆消化道疾病；肾、输尿管等泌尿系疾病以及内分泌失调所致的各种疾病均有丰富的临床经验。,院名中医、主任中医师、教授 中华中医药学会脑病专业委员会常务委员。 善用中医中药辩证诊治内科各种常见及疑难疾病，尤其擅长治疗脑血管疾病及神经内科疾病，如头痛、玄晕、神经痛、脑梗塞、失眠、抑郁、癫痫、面瘫、高血压等病，同时对冠心病、胃肠、肝胆消化道疾病；,院名中医、主任中医师、教授,全国第四、五批老中医药专家学术经验继承工作指导老师。中华中医药学会脑病专业委员会常务委员。善用中医中药辩证诊治内科各种常见及疑难疾病，尤其擅长治疗脑血管疾病及神经内科疾病，如头痛、玄晕、神经痛、脑梗塞、失眠、抑郁、癫痫、面瘫、高血压等病，同时对冠心病、胃肠、肝胆消化道疾病；肾、输尿管等泌尿系疾病以及内分泌失调所致的各种疾病均有丰富的临床经验。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=549,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,科室需人工复核,待人工复核
3,广东省第二中医院,许学猛,,,主任中医师、教授、博士、副院长,国务院特殊津贴专家、广东省名中医、副院长、主任中医师、教授、博士研究生导师,高,免疫/风湿/感染,风湿、类风湿,中医药防治退行性骨关节病的科学研究，擅长诊治颈椎病、腰腿痛、四肢骨关节病、骨质增生症、骨质疏松症以及风湿性、类风湿性、痛风性关节炎等；创立了“骨筋肉并重特色诊疗”的专科学术思想，形成了六大特色治疗方法。,国务院特殊津贴专家、广东省名中医、副院长、主任中医师、教授、博士研究生导师 广东省中西医结合学会骨科特色疗法专业委员会主任委员，广东省中西医结合学会脊柱医学专业委员会副主任委员，广东省中医药学会脊柱病专业委员会副主任委员，广东省中医药学会骨伤科专业委员会副主任委员。 首届百名中华中医药学会科技之星。 科研课题获省科技进步二等奖1项、省科技进步三等奖4项，拥有发明及实用新型专利7项、出版专著二部。,国务院特殊津贴专家、广东省名中医、副院长、主任中医师、教授、博士研究生导师,广东省中西医结合学会骨科特色疗法专业委员会主任委员，广东省中西医结合学会脊柱医学专业委员会副主任委员，广东省中医药学会脊柱病专业委员会副主任委员，广东省中医药学会骨伤科专业委员会副主任委员。首届百名中华中医药学会科技之星。科研课题获省科技进步二等奖1项、省科技进步三等奖4项，拥有发明及实用新型专利7项、出版专著二部。主攻方向为中医药防治退行性骨关节病的科学研究，擅长诊治颈椎病、腰腿痛、四肢骨关节病、骨质增生症、骨质疏松症以及风湿性、类风湿性、痛风性关节炎等；创立了“骨筋肉并重特色诊疗”的专科学术思想，形成了六大特色治疗方法。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=669,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,科室需人工复核,待人工复核
4,广东省第二中医院,邱健行,,,主任中医师、教授、博士生导师,全国名老中医、主任中医师、教授、博士生导师,高,慢性病、生殖疾病、疑难重症,慢性、月经、难治,脾胃病、急慢性胃炎、溃疡病、急慢性结肠炎、功能性胃肠病、肝硬化、急慢性胆囊炎、胆石症、上消化道出血（呕血、便血）、难治性血证、再生障碍性贫血、原发性血小板减少性紫癜、功能性月经过多、顽固性咳嗽、顽固性失眠、顽固性皮肤过敏、习惯性便秘。,全国名老中医、主任中医师、教授、博士生导师 历任中华中医学会理事、中华中医内科学会常务理事、全国血证专业委员会副主任委员、广东省中医药学会常务理事、广东省内科学会副主任委员、脾胃病学说研究组组长、广东省老中医药专家协会副会、第九届全国人大代表、主席团成员。,全国名老中医、主任中医师、教授、博士生导师,历任中华中医学会理事、中华中医内科学会常务理事、全国血证专业委员会副主任委员、广东省中医药学会常务理事、广东省内科学会副主任委员、脾胃病学说研究组组长、广东省老中医药专家协会副会、第九届全国人大代表、主席团成员。中医内科专家，擅治脾胃病、急慢性胃炎、溃疡病、急慢性结肠炎、功能性胃肠病、肝硬化、急慢性胆囊炎、胆石症、上消化道出血（呕血、便血）、难治性血证、再生障碍性贫血、原发性血小板减少性紫癜、功能性月经过多、顽固性咳嗽、顽固性失眠、顽固性皮肤过敏、习惯性便秘。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=160,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,科室需人工复核,待人工复核
5,广东省第二中医院,黄琳,,,主任中医师、教授、硕士,医务科科长、主任中医师、教授、硕士研究生导师,高,慢性病,高血压、冠心病、心力衰竭、慢性,治疗内科及心血管专科疾病，如高血压病、冠心病、心肌炎、心力衰竭、心律失常及慢性胃炎、慢性肠炎、慢性病毒性肝炎等。用中医及中西医结合的方法治疗头晕、心悸、胸闷、气促、咳嗽、失眠、水肿、肢体麻木及胃痛、腹痛等病症。,广东省中医药学会内科专业委员会常务委员、广东省中西医结合学会心血管专业委员会委员、广东省女医师协会理事、广东省医院协会医院医务管理专业委员会委员。 在全国及省级杂志上发表论文30余篇。,医务科科长、主任中医师、教授、硕士研究生导师,广东省中医药学会内科专业委员会常务委员、广东省中西医结合学会心血管专业委员会委员、广东省女医师协会理事、广东省医院协会医院医务管理专业委员会委员。主持广东省科技厅及广东省中医局课题4项。在全国及省级杂志上发表论文30余篇。专长治疗内科及心血管专科疾病，如高血压病、冠心病、心肌炎、心力衰竭、心律失常及慢性胃炎、慢性肠炎、慢性病毒性肝炎等。用中医及中西医结合的方法治疗头晕、心悸、胸闷、气促、咳嗽、失眠、水肿、肢体麻木及胃痛、腹痛等病症。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=659,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,科室需人工复核,待人工复核
6,广东省第二中医院,郭智涛,乳腺科,乳腺科,科主任,乳腺科主任,高,肿瘤、疑难重症,肿瘤、癌、化疗、乳腺癌、疑难、重症,中医外治法及心理辅导、饮食疗法等在乳腺病的运用。,中华医学会肿瘤学会会员，广州市抗癌协会乳腺癌专业委员会委员。 1991年起即在广东省中医院乳腺科从事乳腺疾病的医疗及研究工作16年，并在亚洲最大的乳腺病防治中心-天津医科大学肿瘤医院系统培训进修1年。 2005年作为学科带头人引进调入广东省第二中医院，并创立乳腺科。 掌握乳腺病的专业动态、具备解决本专业危急疑难重症的能力。,乳腺科主任,中华医学会肿瘤学会会员，广州市抗癌协会乳腺癌专业委员会委员。1991年起即在广东省中医院乳腺科从事乳腺疾病的医疗及研究工作16年，并在亚洲最大的乳腺病防治中心-天津医科大学肿瘤医院系统培训进修1年。2005年作为学科带头人引进调入广东省第二中医院，并创立乳腺科。对乳腺病的病理、诊断、手术、放、化疗、内分泌等各种治疗手段能熟炼掌握运用；掌握乳腺病的专业动态、具备解决本专业危急疑难重症的能力。率先在省内开展乳腺癌介入治疗、电化学治疗、规范的乳腺癌根冶术、保乳术、术前新辅助化疗、新内分泌治疗、乳腺导管镜检查、乳腺癌标本规范取材等，每年主刀乳腺癌手术近一百例。临床中注重中西结合，对乳腺癌围手术期、放化疗期间的中医药参与积累了丰富的临床经验，并擅长中医外治法及心理辅导、饮食疗法等在乳腺病的运用。主持“术前中药区域动脉持续灌注治疗局部晚期乳腺癌的临床研究”等国家局、省局课题3项，发表专业论文十余篇。医疗质量过硬、服务技巧优良，医患关系良好，目前每月的专科门诊量逾一千四百人次，其中肿瘤患者近八百人次。1996年曾参加卫生部第30届全国高级肿瘤医师培训班学习。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=1290,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
7,广东省第二中医院,陈宁,呼吸科,呼吸科,主任医师、教授、硕士、科主任,呼吸科主任、主任医师、教授、中西医双学士、硕士研究生导师,高,慢性病、肿瘤、疑难重症,慢性、肺癌、疑难、重症,中医药、中西医结合治疗呼吸系统疾病，如咳嗽，尤其久咳、咽炎、气喘、胸背痛，急、慢性支气管炎、慢性咽炎、肺气肿、肺心病、肺炎、支气管哮喘、肺癌等疑难杂证。,"广州市药学会名方验方开发筛选评价专家委员会副主任委员，广东省中医药学会呼吸病专业委员会常务委员, 中国中西医结合学会第七届理事会理事，广东省中西医结合学会重症医学专业委员会第二届委员会常委。 从事临床、教学、科研工作二十余年，擅长中医药、中西医结合治疗呼吸系统疾病，如咳嗽，尤其久咳、咽炎、气喘、胸背痛，急、慢性支气管炎、慢性咽炎、肺气肿、肺心病、肺炎、支气管哮喘、肺癌等疑难杂证。",呼吸科主任、主任医师、教授、中西医双学士、硕士研究生导师,"广州市药学会名方验方开发筛选评价专家委员会副主任委员，广东省中医药学会呼吸病专业委员会常务委员, 中国中西医结合学会第七届理事会理事，广东省中西医结合学会重症医学专业委员会第二届委员会常委。从事临床、教学、科研工作二十余年，擅长中医药、中西医结合治疗呼吸系统疾病，如咳嗽，尤其久咳、咽炎、气喘、胸背痛，急、慢性支气管炎、慢性咽炎、肺气肿、肺心病、肺炎、支气管哮喘、肺癌等疑难杂证。",医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=564,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
8,广东省第二中医院,谢波,妇科,妇科,主任中医师、教授、硕士、科主任,妇科主任、主任中医师、教授、硕士研究生导师,高,,,,,妇科主任、主任中医师、教授、硕士研究生导师,,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=554,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
9,广东省第二中医院,靳利利,心血管科,心血管科,主任中医师、教授、医学博士、硕士、科主任,心血管科主任、主任中医师、教授、医学博士、硕士研究生导师,高,慢性病、疑难重症,高血压、冠心病、心力衰竭、动脉粥样硬化、疑难、危重,"中西医结合心血管疾病的临床与实验研究,近几年专研高血压的中医辨证分型规律、中医药治疗,心力衰竭的临床与实验研究，积累了丰富的临床经验与实验基础。擅长治疗高血压病、冠心病、心力衰竭、心律失常，动脉粥样硬化的防治，对于眩晕、肢体麻木、心悸、喘促、心血管及危重症等有一定经验。","国家级心病学重点学科带头人,广东省中医药学会心血管专业常务委员、中华中医药学会心病分会委员，中西医结合心血管专业委员会委员，广东省中医心病学学会委员、广东省中医药学会疑难病专业委员、广东省中医药学会中医诊断学专业委员。 擅长治疗高血压病、冠心病、心力衰竭、心律失常，动脉粥样硬化的防治，对于眩晕、肢体麻木、心悸、喘促、心血管及危重症等有一定经验。",心血管科主任、主任中医师、教授、医学博士、硕士研究生导师,"国家级心病学重点学科带头人,广东省中医药学会心血管专业常务委员、中华中医药学会心病分会委员，中西医结合心血管专业委员会委员，广东省中医心病学学会委员、广东省中医药学会疑难病专业委员、广东省中医药学会中医诊断学专业委员。从事内科临床工作20年，主攻中西医结合心血管疾病的临床与实验研究,近几年专研高血压的中医辨证分型规律、中医药治疗,心力衰竭的临床与实验研究，积累了丰富的临床经验与实验基础。擅长治疗高血压病、冠心病、心力衰竭、心律失常，动脉粥样硬化的防治，对于眩晕、肢体麻木、心悸、喘促、心血管及危重症等有一定经验。",医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=699,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
10,广东省第二中医院,范德辉,针灸康复科五区,,主任中医师、教授、博士,国务院特殊津贴专家、广东省名中医、主任中医师、二级教授、博士研究生导师、针康五区区长,高,免疫/风湿/感染、术后恢复/康复,风湿、术后、康复、疼痛,中风病、顽固性眩晕、头痛、失眠、各种颈椎病、腰椎间盘突出症、骨质增生症、坐骨神经痛、风湿关节痛及各种创伤术后康复等。,国务院特殊津贴专家、广东省名中医、主任中医师、二级教授、博士研究生导师、针康五区区长 范德辉，主任中医师、二级教授、享受国务院政府特殊津贴专家、广东省名中医，广州中医药大学博士研究生导师，第十二届广东省政协委员，广东省第二中医院针灸康复科五区区长，第五批全国名老中医药学术继承人，广东省第二批名老中医药学术思想继承指导老师，广东省名中医传承工作室专家，中国民族医药学会康复分会副会长、推拿分会副会长、疼痛分会副会长，广东省中西医结合学会脊柱疾病康复专业委员会主任委员，广东省中医药学会针刀专业委员会副主任委员，长期致力于脊柱相关疾病的科研、临床与教学工作，获2018年度广东省科技进步奖二等奖1项，2020年度中国中医药促进会科技进步奖二等奖、三等奖各1项，2020年度中国民族医药学会学术著作奖三等奖1项。 发表学术论文40余篇，主编《龙氏治脊疗法》、《治腰治颈不如靠自己》、《龙氏治脊疗法（第二版）》、《范德辉脊柱相关疾病诊治学术思想与临床经验集》等著作。,国务院特殊津贴专家、广东省名中医、主任中医师、二级教授、博士研究生导师、针康五区区长,范德辉，主任中医师、二级教授、享受国务院政府特殊津贴专家、广东省名中医，广州中医药大学博士研究生导师，第十二届广东省政协委员，广东省第二中医院针灸康复科五区区长，第五批全国名老中医药学术继承人，广东省第二批名老中医药学术思想继承指导老师，广东省名中医传承工作室专家，中国民族医药学会康复分会副会长、推拿分会副会长、疼痛分会副会长，广东省中西医结合学会脊柱疾病康复专业委员会主任委员，广东省中医药学会针刀专业委员会副主任委员，长期致力于脊柱相关疾病的科研、临床与教学工作，获2018年度广东省科技进步奖二等奖1项，2020年度中国中医药促进会科技进步奖二等奖、三等奖各1项，2020年度中国民族医药学会学术著作奖三等奖1项。主持国家级、省级、市级脊椎病因学相关科研课题多项；发表学术论文40余篇，主编《龙氏治脊疗法》、《治腰治颈不如靠自己》、《龙氏治脊疗法（第二版）》、《范德辉脊柱相关疾病诊治学术思想与临床经验集》等著作。出诊时间：周二上午、周四上午、周日全天 擅长治疗：中风病、顽固性眩晕、头痛、失眠、各种颈椎病、腰椎间盘突出症、骨质增生症、坐骨神经痛、风湿关节痛及各种创伤术后康复等。,医院官网,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=1452,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医院官网名医栏目：严格 specialist typeid 过滤+详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
