序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广州市中医院,叶穗林,名医堂、心病科（心血管内科）,名医堂、珠玑路院区,主任中医师,主任中医师,高,慢性病、免疫/风湿/感染、疑难重症,高血压、冠心病、心衰、高脂血症、风湿、复杂,中西医结合方法治疗冠心病、高血压病、高脂血症、心肌病、病毒性心肌炎、风湿性心脏病、顽固性心衰、复杂顽固性心律失常等疾病。,广东省名中医， 广州医科大学附属中医医院心血管内科学术带头人， 二级主任中医师，医学硕士，教授，硕士生导师 应用中医药方法治疗心血管疾病有四十多年丰富临床经验，擅长中西医结合方法治疗冠心病、高血压病、高脂血症、心肌病、病毒性心肌炎、风湿性心脏病、顽固性心衰、复杂顽固性心律失常等疾病。 学术任职：广东省中西医结合学会高血压专业委员会副主任委员； 双心医学专业委员会副主任委员； 广东省中医药学会心血管专业委员会常委；,,广东省名中医， 广州医科大学附属中医医院心血管内科学术带头人， 二级主任中医师，医学硕士，教授，硕士生导师 应用中医药方法治疗心血管疾病有四十多年丰富临床经验，擅长中西医结合方法治疗冠心病、高血压病、高脂血症、心肌病、病毒性心肌炎、风湿性心脏病、顽固性心衰、复杂顽固性心律失常等疾病。 学术任职：广东省中西医结合学会高血压专业委员会副主任委员； 双心医学专业委员会副主任委员； 广东省中医药学会心血管专业委员会常委； 内科专业委员会常委； 广州市中医药学会常务理事等。,医院官网,https://www.gzszyy.com/expert/2026/w9aADOev.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
2,广州市中医院,蔡迎峰,名医堂、骨伤科,名医堂、同德围分院、同德综合门诊部,主任中医师,主任中医师,高,疑难重症,疑难、复杂,骨伤科疑难疾病的诊治及各种复杂、精细骨科手术。精于各种脊柱外科手术、微创脊柱外科手术及髋膝关节置换手术。在运用中医药方法治疗各种骨折、脱位、颈腰椎间盘突出、骨关节疾病较有丰富经验。,广东省名中医，主任中医师 广东省第二批中医临床优秀人才，广州市第二批优秀中医临床人才，师从广东省名中医刘金文教授。 广东省基层医药学会中西医结合八法正骨分会副会长、世界中医药联合会 骨伤科 专业委员会常务理事。 擅长 骨伤科 疑难疾病的诊治及各种复杂、精细骨科手术。 参与编撰专业著作 1 部，拥有实用型专利技术 1 项，发表各类学术论文多篇，主持参与国家级自然基金课题 1 项，省、市级课题多项。,,广东省名中医，主任中医师 广东省第二批中医临床优秀人才，广州市第二批优秀中医临床人才，师从广东省名中医刘金文教授。 广东省基层医药学会中西医结合八法正骨分会副会长、世界中医药联合会 骨伤科 专业委员会常务理事。 擅长 骨伤科 疑难疾病的诊治及各种复杂、精细骨科手术。 精于各种脊柱 外科 手术、微创脊柱 外科 手术及髋膝关节置换手术。 在运用中医药方法治疗各种骨折、脱位、颈腰椎间盘突出、骨关节疾病较有丰富经验。 参与编撰专业著作 1 部，拥有实用型专利技术 1 项，发表各类学术论文多篇，主持参与国家级自然基金课题 1 项，省、市级课题多项。,医院官网,https://www.gzszyy.com/expert/2026/X7axvrdy.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
3,广州市中医院,李丽霞,名医堂、针灸科,名医堂、珠玑路院区、同德围分院,主任中医师,主任中医师,高,疑难重症,疑难,应用岭南火针等各种特色针法治疗各种痛证、神经系统疾病和各种疑难杂症。,广东省名中医，广州医科大学附属中医医院 针灸科 学术带头人，主任中医师 广东省第二批名中医师承项目指导老师，广州市优秀中医临床人才，广州市医学重点人才，广州市针灸学会会长，广州中医药学会针灸分会主任委员， 广东省针灸学会文献和信息专业委员会名誉主委 ，擅长应用岭南火针等各种特色针法治疗各种痛证、神经系统疾病和各种疑难杂症。,,广东省名中医，广州医科大学附属中医医院 针灸科 学术带头人，主任中医师 广东省第二批名中医师承项目指导老师，广州市优秀中医临床人才，广州市医学重点人才，广州市针灸学会会长，广州中医药学会针灸分会主任委员， 广东省针灸学会文献和信息专业委员会名誉主委 ，擅长应用岭南火针等各种特色针法治疗各种痛证、神经系统疾病和各种疑难杂症。,医院官网,https://www.gzszyy.com/expert/2026/KQe1wRbJ.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
4,广州市中医院,赵云燕,名医堂、重症医学科,名医堂、珠玑路院区,主任中医师,主任中医师,高,慢性病、肿瘤、术后恢复/康复、疑难重症,慢性、肿瘤、术后、营养、疼痛、功能障碍、疑难、重症,擅治多器官功能障碍重症及顽固性咳喘、失眠、眩晕、痛症、结节性疾病、口腔溃疡等疑难杂症。尤擅长肿瘤术后消化功能障碍、肠胃溃疡性疾病、食管炎、胃炎、结肠炎、腹泻、便秘、胆囊炎、胆石症、急慢性肝和胰腺病的中西医诊治,广东省名中医， 二级主任医师，教授，研究生导师， 广东省/广州市优秀中医人才，国家名中医药专家学术传承人。 擅治多器官功能障碍重症及顽固性咳喘、失眠、眩晕、痛症、结节性疾病、口腔溃疡等疑难杂症。 任广东省中西医结合学会疼痛专业委员会主任委员，广东省中医药学会疑难病专业委员会副主任委员，广东省传统医学会副会长，广东省中医学会重症医学专业委员会副主任委员，广东省健康管理学会重症医学专业委员会副主任委员，广东省医学会重症医学专业委员会常委等。 发表论文30余篇。,,广东省名中医， 二级主任医师，教授，研究生导师， 广东省/广州市优秀中医人才，国家名中医药专家学术传承人。 擅治多器官功能障碍重症及顽固性咳喘、失眠、眩晕、痛症、结节性疾病、口腔溃疡等疑难杂症。 尤擅长肿瘤术后消化功能障碍、肠胃溃疡性疾病、食管炎、胃炎、结肠炎、腹泻、便秘、胆囊炎、胆石症、急慢性肝和胰腺病的中西医诊治。 任广东省中西医结合学会疼痛专业委员会主任委员，广东省中医药学会疑难病专业委员会副主任委员，广东省传统医学会副会长，广东省中医学会重症医学专业委员会副主任委员，广东省健康管理学会重症医学专业委员会副主任委员，广东省医学会重症医学专业委员会常委等。 主持广东省自然科学基金等科研10余项。 主要科研领域：胃肠功能障碍性疾病和营养管理。 主编医学书籍3部，副主编5部。 发表论文30余篇。 获广东省科技进步二等奖和广州市科技成果。,医院官网,https://www.gzszyy.com/expert/2026/46dBgJe7.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
5,广州市中医院,叶绍伟,名医堂、脑病科（神经内科）,名医堂,主任中医师,主任中医师,高,疑难重症,疑难,在内科疑难病症及脑病内科方面有丰富的临床经验。,原广州市中医医院神经内科主任及学科带头人； 1994 年 9 月开始任广东省中医药学会脑病专业委员会第一、二届副主任委员及第三届委员会顾问至 2016 年； 2001 年任中华中医药学会内科脑病专业委员会常委； 2008 年 9 月受聘“中国中医药学会广州分会中医药专家人才库高层库”专家，“广东省卫生系列高级职称评审专家库”专家；,,原广州市中医医院神经内科主任及学科带头人； 1994 年 9 月开始任广东省中医药学会脑病专业委员会第一、二届副主任委员及第三届委员会顾问至 2016 年； 2001 年任中华中医药学会内科脑病专业委员会常委； 2008 年 9 月受聘“中国中医药学会广州分会中医药专家人才库高层库”专家，“广东省卫生系列高级职称评审专家库”专家； 广东省首批名中医师承项目导师； 2015 年广东省中医脑病学会成立 20 周年，获学会颁发突出贡献奖。 毕业于广州中医药大学，一直从事医学、临床、教学及科研工作，虽然早过古稀之年，仍勤学不倦博览群书，探研中西医之长，学术造诣颇深，在内科疑难病症及脑病内科方面有丰富的临床治疗经验。 接诊态度和蔼，时刻为患者着想，千方百计为患者解除病痛，深受患者好评。,医院官网,https://www.gzszyy.com/expert/2026/9wdLwbjP.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
6,广州市中医院,吕永慧,名医堂、脾胃科（消化内科）,名医堂、珠玑路院区,主任中医师,主任中医师,高,慢性病、肿瘤、疑难重症,高脂血症、肿瘤、肺癌、肝癌、肠癌、疑难,内科常见病、疑难杂病及肿瘤中医中药治疗；尤其擅长于中医治疗消化道疾病，如溃疡性结肠炎、克罗恩病等炎症性肠病、食道炎、胃食管反流病、胃炎、胃十二指肠溃疡、功能性胃肠病、腹泻、便秘、口臭、口腔溃疡、肝炎、脂肪肝、肝纤维化、肝硬化、肝癌、肺癌、肠癌、咳嗽、高脂血症、痤疮、湿疹、失眠以及亚健康调理等中医中药治疗。,广东省名中医，主任中医师，教授，博士研究生导师，羊城好医生，胡润-平安中国好医生。 广东省首批优秀中医临床人才，广州市优秀中医，广州市局管优秀人才。 国家中医药管理局“十一•五”溃疡性结肠炎中医重点专病负责人及学科带头人，国家中医药管理局“十二•五”脾胃病科中医重点专科负责人及学科带头人。 担任广州市“九•五”杏林重点工程、广州市“1357” 重点工程及广东省中药管理局溃疡性结肠炎重点专病负责人及学科带头人。,,广东省名中医，主任中医师，教授，博士研究生导师，羊城好医生，胡润-平安中国好医生。 广东省首批优秀中医临床人才，广州市优秀中医，广州市局管优秀人才。 国家中医药管理局“十一•五”溃疡性结肠炎中医重点专病负责人及学科带头人，国家中医药管理局“十二•五”脾胃病科中医重点专科负责人及学科带头人。 担任广州市“九•五”杏林重点工程、广州市“1357” 重点工程及广东省中药管理局溃疡性结肠炎重点专病负责人及学科带头人。 担任广东省中医药学会消化内科专业委员会副主委。 曾担任脾胃科主任、肝病科主任，大内科副主任。 擅长内科常见病、疑难杂病及肿瘤中医中药治疗。 尤其擅长溃疡性结肠炎、克罗恩病等炎症性肠病、食道炎、胃食管反流病、胃炎、胃十二指肠溃疡、功能性胃肠病、腹泻、便秘、口臭、口腔溃疡、肝炎、脂肪肝、肝纤维化、肝硬化、肝癌、肺癌、肠癌、咳嗽、高脂血症、痤疮、湿疹、失眠以及亚健康调理等中医中药治疗。,医院官网,https://www.gzszyy.com/expert/2026/WPe9xdLy.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
7,广州市中医院,梁劲军,名医堂、肛肠科,名医堂,主任中医师,主任中医师,高,肿瘤、疑难重症,化疗、疑难,各种肛门疑难杂症的中医药治疗，在围手术期及围化疗期运用中医药治疗，放射性肠炎的中西医结合治疗。,二级教授，广东省名中医，主任医师 广州市中医药临床特色核心技术《络合统血疗法治疗痔出血疾病》首席专家。 在一线从事肛肠医教研工作40余年，全国第二届百名杰出青年名中医，全国中医肛肠学科名专家，中华中医药学会肛肠专业权威专家，岭南名医，羊城好医生等。 擅长各种肛门疑难杂症的中医药治疗，在围手术期及围化疗期运用中医药治疗，放射性肠炎的中西医结合治疗。 广东省基层医药学会肛肠专委会主任委员、 中华中医药学会肛肠学会常务理事、 广州市中医 外科 专业委员会主任委员等。,,二级教授，广东省名中医，主任医师 广州市中医药临床特色核心技术《络合统血疗法治疗痔出血疾病》首席专家。 在一线从事肛肠医教研工作40余年，全国第二届百名杰出青年名中医，全国中医肛肠学科名专家，中华中医药学会肛肠专业权威专家，岭南名医，羊城好医生等。 擅长各种肛门疑难杂症的中医药治疗，在围手术期及围化疗期运用中医药治疗，放射性肠炎的中西医结合治疗。 广东省基层医药学会肛肠专委会主任委员、 中华中医药学会肛肠学会常务理事、 广州市中医 外科 专业委员会主任委员等。,医院官网,https://www.gzszyy.com/expert/2026/4zbq7rep.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
8,广州市中医院,吴薏婷,肿瘤一区,肿瘤一区、珠玑路院区,主任中医师,主任中医师,高,肿瘤、生殖疾病,肿瘤、癌、瘤、鼻咽癌、肺癌、肝癌、胃癌、肠癌、乳腺癌、卵巢,中西医结合治疗肺癌、乳腺癌、鼻咽癌、前列腺癌、甲状腺癌、肠癌、胃癌、胰腺癌、肝癌、卵巢癌等恶性肿瘤；乳腺囊肿、乳腺纤维瘤、子宫肌瘤、甲状腺结节、大肠息肉、脂肪瘤等良性肿瘤。同时擅长用经方治疗感冒、咳嗽、胃痛、腹泻等内科疾病以及颈椎病、腰椎病的内科保守治疗。,广州市第二批优秀中医临床研修人才； 第四批全国优秀中医临床研修人才； 第五届羊城好医生。,,广州市第二批优秀中医临床研修人才； 第四批全国优秀中医临床研修人才； 第五届羊城好医生。 1994年江西中医学院本科毕业，2009年广州中医药大学硕士毕业。 从事中西医结合治疗肿瘤26年，先后跟师 陈庆强 主任、周岱翰国医大师、熊继柏国医大师、禤国维国医大师。 擅长中西医结合治疗肺癌、乳腺癌、鼻咽癌、前列腺癌、甲状腺癌、肠癌、胃癌、胰腺癌、肝癌、卵巢癌等恶性肿瘤； 乳腺囊肿、乳腺纤维瘤、子宫肌瘤、甲状腺结节、大肠息肉、脂肪瘤等良性肿瘤。 同时擅长用经方治疗感冒、咳嗽、胃痛、腹泻等内科疾病以及颈椎病、腰椎病的内科保守治疗。 主持省中管局课题2项，市卫生局课题1项； 参与省、市各项课题十余项。,医院官网,https://www.gzszyy.com/expert/2026/4zbqjrdp.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
9,广州市中医院,邓力,肿瘤二区,肿瘤二区、珠玑路院区、同德围分院,主任医师,主任医师,高,肿瘤、术后恢复/康复,肿瘤、癌、化疗、鼻咽癌、肺癌、肝癌、胃癌、肠癌、乳腺癌、康复,中西医治疗肝癌、肺癌、结直肠癌、胃癌、鼻咽癌、甲状腺癌、胰腺癌、乳腺癌、头颈部肿瘤、妇科恶性肿瘤、甲状腺良性结节、肺结节、乳腺增生症、癌性抑郁、失眠。,广州市三级名中医 ，广州医科大学附属中医医院 内科副主任兼 肿瘤二区 主任 ，主任医师，硕士生导师、教授 从事肿瘤防治临床科教研工作33年，擅长中西医治疗肝癌、肺癌、结直肠癌、胃癌、鼻咽癌、甲状腺癌、胰腺癌、乳腺癌、头颈部肿瘤、 妇科 恶性肿瘤、甲状腺良性结节、肺结节、乳腺增生症、癌性抑郁、失眠。 现任中国抗癌协会中西整合鼻咽癌专委会常务委员、广东省中西医结合学会肿瘤化疗专委会副主任委员、广东省中西医结合学会肿瘤微创治疗专委会副主任委员，广东省中医药学会肿瘤治疗与康复专委会副主任委员。,,广州市三级名中医 ，广州医科大学附属中医医院 内科副主任兼 肿瘤二区 主任 ，主任医师，硕士生导师、教授 从事肿瘤防治临床科教研工作33年，擅长中西医治疗肝癌、肺癌、结直肠癌、胃癌、鼻咽癌、甲状腺癌、胰腺癌、乳腺癌、头颈部肿瘤、 妇科 恶性肿瘤、甲状腺良性结节、肺结节、乳腺增生症、癌性抑郁、失眠。 现任中国抗癌协会中西整合鼻咽癌专委会常务委员、广东省中西医结合学会肿瘤化疗专委会副主任委员、广东省中西医结合学会肿瘤微创治疗专委会副主任委员，广东省中医药学会肿瘤治疗与康复专委会副主任委员。,医院官网,https://www.gzszyy.com/expert/2026/olej25ej.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
10,广州市中医院,许幸仪,脑病科（神经内科）、体检科,脑病科（神经内科）、珠玑路院区,主任中医师,主任中医师,中,,,脑血管病，睡眠障碍，帕金森病，周围神经病等中西医结合诊治。,广东省首批名医师承学员，广东省中医药学会脑病专业委员会第四届委员会会员，广东省中西医结合学会神经肌肉病及神经电生理专业委员会第一届委员会委员等。,,97年毕业于广州中医药大学，在广州市中医院脑病科工作。 广东省首批名医师承学员，广东省中医药学会脑病专业委员会第四届委员会会员，广东省中西医结合学会神经肌肉病及神经电生理专业委员会第一届委员会委员等。,医院官网,https://www.gzszyy.com/expert/2026/WZdPwbKg.html,https://www.gzszyy.com/expert/,官网 dp 科室树静态分页+严格专家详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
