序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广州医科大学附属第三医院,江岚,黄埔院区超声医学科,黄埔院区超声医学科,副主任医师,副主任医师,高,疑难重症,疑难,主要从事心血管超声、妇科超声、腹部超声、甲状腺及乳腺超声、儿科超声、超声造影、介入超声等临床工作10余年。擅长心血管、妇科、泌尿、甲状腺及乳腺等系统的常见病及疑难病例的诊断，在孕产妇、小儿心脏疾病的诊断及心脏介入超声方面具有丰富的临床经验。,"江 岚 副主任医师 广州医科大学附属第三医院黄埔院区（妇女儿童医院）超声医学科副主任、心脏超声亚专业组组长、暨南大学医学影像与核医学在读博士。 擅长心血管、妇科、泌尿、甲状腺及乳腺等系统的常见病及疑难病例的诊断，在孕产妇、小儿心脏疾病的诊断及心脏介入超声方面具有丰富的临床经验。 现任中国超声医学工程学会超声心动图专业青年委员，广东省精准医学会超声医学分会常委，广东省医师协会超声医师分会委员心血管专业委员，广东省住院医师规范化培训基地带教导师及考官。 主持和参与多项科研课题，发表国内外论著20余篇,作为副主编及主要作者参编论著多部。",,"江 岚 副主任医师 广州医科大学附属第三医院黄埔院区（妇女儿童医院）超声医学科副主任、心脏超声亚专业组组长、暨南大学医学影像与核医学在读博士。 主要从事心血管超声、妇科超声、腹部超声、甲状腺及乳腺超声、儿科超声、超声造影、介入超声等临床工作10余年。擅长心血管、妇科、泌尿、甲状腺及乳腺等系统的常见病及疑难病例的诊断，在孕产妇、小儿心脏疾病的诊断及心脏介入超声方面具有丰富的临床经验。 现任中国超声医学工程学会超声心动图专业青年委员，广东省精准医学会超声医学分会常委，广东省医师协会超声医师分会委员心血管专业委员，广东省住院医师规范化培训基地带教导师及考官。 主持和参与多项科研课题，发表国内外论著20余篇,作为副主编及主要作者参编论著多部。",医院官网,https://www.gy3y.cn/ks/hp/yjbm/csyxk/doctor_360.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
2,广州医科大学附属第三医院,关国晟,荔湾院区心血管内科,荔湾院区心血管内科,副主任医师,副主任医师,高,疑难重症,疑难、危重,心血管内科系统疾病以及内科常见病、多发病、老年病、疑难危重疾病的诊断治疗。,关国晟 副主任医师，医学硕士 从医 20余年，临床经验丰富，擅长心血管内科系统疾病以及内科常见病、多发病、老年病、疑难危重疾病的诊断治疗。,,关国晟 副主任医师，医学硕士 从医 20余年，临床经验丰富，擅长心血管内科系统疾病以及内科常见病、多发病、老年病、疑难危重疾病的诊断治疗。,医院官网,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_4.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
3,广州医科大学附属第三医院,李文杰,荔湾院区心血管内科、黄埔院区心血管内科,荔湾院区心血管内科、黄埔院区心血管内科,副主任医师,副主任医师,高,疑难重症,高危,心律失常（心房扑动、心房颤动、房性心动过速、室性早搏、阵发性室上性心动过速等）的介入治疗，擅长冠脉内超声检查、冠脉介入术、主动脉内球囊反搏术、起搏器植入术等。,李文杰 副主任医师 中华医学会心血管分会成员，广东省心脏介入学会成员。,,李文杰 副主任医师 中华医学会心血管分会成员，广东省心脏介入学会成员。多年心血管临床经验，熟练心血管各种高危疾病的诊治。擅长心律失常（心房扑动、心房颤动、房性心动过速、室性早搏、阵发性室上性心动过速等）的介入治疗，擅长冠脉内超声检查、冠脉介入术、主动脉内球囊反搏术、起搏器植入术等。,医院官网,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_6.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
4,广州医科大学附属第三医院,黄寰,荔湾院区内科门诊,荔湾院区内科门诊,副主任医师,副主任医师,高,慢性病,高血压、冠心病、心力衰竭,高血压、冠心病、心律失常、心力衰竭等心血管疾病的诊断与治疗。,黄 寰 ，副主任医师。 从事心血管内科专业二十余年，兼任广东省卫生经济协会医疗保险分会常委等社会职务。 主持省级课题1项，发表论文近10篇。,,黄 寰 ，副主任医师。从事心血管内科专业二十余年，兼任广东省卫生经济协会医疗保险分会常委等社会职务。主持省级课题1项，发表论文近10篇。,医院官网,https://www.gy3y.cn/ks/nkxt/nkmz/doctor_7.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
5,广州医科大学附属第三医院,许治强,荔湾院区神经内科,荔湾院区神经内科,主任医师,主任医师,高,疑难重症,重症、急危重,从事内科及神经内科专业技术工作30多年，有扎实的专业基础理论知识和丰富的临床经验，擅长内科、神经内科常见病多发病的诊治及急危重症的救治，尤其是脑血管病（中风）、脑炎、痴呆、重症肌无力、周围神经病、头痛、头晕、失眠等的诊治。,许治强 神经内科主任医师、硕士生导师。 任广东省医师协会神经内科分会常委、广州市医学会神经内科分会副主任委员。 从事内科及神经内科专业技术工作30多年，有扎实的专业基础理论知识和丰富的临床经验，擅长内科、神经内科常见病多发病的诊治及急危重症的救治，尤其是脑血管病（中风）、脑炎、痴呆、重症肌无力、周围神经病、头痛、头晕、失眠等的诊治。,,许治强 神经内科主任医师、硕士生导师。任广东省医师协会神经内科分会常委、广州市医学会神经内科分会副主任委员。从事内科及神经内科专业技术工作30多年，有扎实的专业基础理论知识和丰富的临床经验，擅长内科、神经内科常见病多发病的诊治及急危重症的救治，尤其是脑血管病（中风）、脑炎、痴呆、重症肌无力、周围神经病、头痛、头晕、失眠等的诊治。,医院官网,https://www.gy3y.cn/ks/nkxt/sjnk/doctor_10.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
6,广州医科大学附属第三医院,梁燕玲,荔湾院区神经内科、黄埔院区神经内科,荔湾院区神经内科、黄埔院区神经内科,主任医师、教授,教授、主任医师,中,,,从事神经内科临床工作二十多年，擅长神经科各种疾病的诊治，尤在脑血管疾病（脑卒中）、头晕头痛症、神经痛、痴呆、妊娠相关性脑病等方面有丰富的临床经验。,"梁燕玲 神经内科主任、神经病学教研室主任、卒中中心副主任, 神经病学教授，主任医师、医学博士、硕士生导师。 目前任广东省医学会神经病学分会常委，广东省医师协会神经病学医师分会常委，广东省中西医结合学会神经病学分会常委、广东省卒中学会常务理事、广州市医学会神经病学分会副主委、广州市医师协会神经内科分会副主委、中国医药教育协会眩晕专业委员会常委、广东省医学会神经病学分会眩晕学组副组长。 是医院第一批第一层次精英人才培养对象。 博士毕业于华中科技大学同济医学院神经病学专业，曾先后到美国印第安纳大学医学院和美国圣路易斯华盛顿大学医学院访问学习。",,"梁燕玲 神经内科主任、神经病学教研室主任、卒中中心副主任, 神经病学教授，主任医师、医学博士、硕士生导师。目前任广东省医学会神经病学分会常委，广东省医师协会神经病学医师分会常委，广东省中西医结合学会神经病学分会常委、广东省卒中学会常务理事、广州市医学会神经病学分会副主委、广州市医师协会神经内科分会副主委、中国医药教育协会眩晕专业委员会常委、广东省医学会神经病学分会眩晕学组副组长。是医院第一批第一层次精英人才培养对象。 博士毕业于华中科技大学同济医学院神经病学专业，曾先后到美国印第安纳大学医学院和美国圣路易斯华盛顿大学医学院访问学习。 从事神经内科临床工作二十多年，擅长神经科各种疾病的诊治，尤在脑血管疾病（脑卒中）、头晕头痛症、神经痛、痴呆、妊娠相关性脑病等方面有丰富的临床经验。先后主持各级课题多项，在高级别专业期刊发表论著30多篇。",医院官网,https://www.gy3y.cn/ks/nkxt/sjnk/doctor_11.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
7,广州医科大学附属第三医院,周伯荣,荔湾院区精神医学科,荔湾院区精神医学科,主任医师、教授,主任医师、教授,高,慢性病、疑难重症,高血压、疑难、难治,具有神经病学和心理学双学科的临床丰富诊治经验。在神经内科，擅长脑卒中的早期预防治疗、诊治记忆障碍相关疾病和疑难杂症。在临床心理，擅长诊治不明原因的躯体症状障碍、难治性抑郁焦虑、青少年学习适应障碍和双相情感障碍。,周伯荣 神经病学教授、硕士生导师，主任医师，兼任心理学科行政主任，中国心理协会心理咨询师，被聘为中华医学会广东省精神医学分会委员和广州市精神疾病分会常委，广州市计划生育神经心理疾病评定专家委员会委员，广州市关工委心理咨询专家委员。 在神经内科，擅长脑卒中的早期预防治疗、诊治记忆障碍相关疾病和疑难杂症。 1997年至今，以第一或通讯作者发表论文在《Journal of Neurology》《Arch Gynecol Obstet》《中华神经疾病杂志》、《中华老年医学》、《中华高血压病杂志》《中国中西医结合杂志》等杂志共计35篇。,,周伯荣 神经病学教授、硕士生导师，主任医师，兼任心理学科行政主任，中国心理协会心理咨询师，被聘为中华医学会广东省精神医学分会委员和广州市精神疾病分会常委，广州市计划生育神经心理疾病评定专家委员会委员，广州市关工委心理咨询专家委员。 具有神经病学和心理学双学科的临床丰富诊治经验。在神经内科，擅长脑卒中的早期预防治疗、诊治记忆障碍相关疾病和疑难杂症。在临床心理，擅长诊治不明原因的躯体症状障碍、难治性抑郁焦虑、青少年学习适应障碍和双相情感障碍。 1997年至今，以第一或通讯作者发表论文在《Journal of Neurology》《Arch Gynecol Obstet》《中华神经疾病杂志》、《中华老年医学》、《中华高血压病杂志》《中国中西医结合杂志》等杂志共计35篇。从事“血小板抵抗在脑卒中的临床研究；认知障碍与心理学疾病的神经分子研究”。,医院官网,https://www.gy3y.cn/ks/nkxt/jsyxk/doctor_12.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
8,广州医科大学附属第三医院,魏立平,荔湾院区呼吸与危重症医学科,荔湾院区呼吸与危重症医学科,主任医师,主任医师,高,免疫/风湿/感染、疑难重症,感染、危重,对COPD并呼吸衰竭患者、支气管哮喘、自发性气胸、胸积液等的治疗及弥漫性肺部疾病鉴别诊断有独到经验。,魏立平 ，主任医师，硕士研究生导师。 从事呼吸内科工作二十年，任呼吸内科主任兼感染疾病科主任，兼任广东省医师协会呼吸病学分会常委，中国哮喘联盟成员，中国COPD联盟成员。 发表论文近20篇，参与编著人民卫生出版社出版的《人感染高致病性禽流感》等多篇专著。,,魏立平 ，主任医师，硕士研究生导师。 从事呼吸内科工作二十年，任呼吸内科主任兼感染疾病科主任，兼任广东省医师协会呼吸病学分会常委，中国哮喘联盟成员，中国COPD联盟成员。曾先后参与国家级课题2项、主持省级课题3项。发表论文近20篇，参与编著人民卫生出版社出版的《人感染高致病性禽流感》等多篇专著。曾获广东省抗击非典标兵及广州市抗击非典二等功及广州市卫生局授予三等功，2006年发现广东省首例人禽流感病例。,医院官网,https://www.gy3y.cn/ks/nkxt/hxnk/doctor_19.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
9,广州医科大学附属第三医院,梁波,荔湾院区肾内科,荔湾院区肾内科,副主任医师,副主任医师,高,慢性病、免疫/风湿/感染、疑难重症,高血压、糖尿病、慢性、感染、红斑狼疮、疑难、急危重、复杂,处理内科、特别是肾内科复杂的疑难疾病，尤其是血尿、蛋白尿、浮肿、高血压的鉴别诊断；尿路感染、慢性肾炎、肾病综合征、系统性红斑狼疮性肾炎、糖尿病肾病、高血压肾病、痛风性肾病、急性肾衰竭、慢性肾衰竭（尿毒症）、腹膜透析相关性疾病、高血压和水、电解质及酸碱平衡失调等等疾病的诊断和治疗；熟练掌握腹膜透析及各种血液净化技术，尤其是慢性肾衰竭（尿毒症）的长期维持性血液透析治疗、急危重症、多器官功能衰竭及中毒病人的相关抢救治疗。,梁 波 ，副主任医师。 兼任广州市肾脏病学会副主任委员、广东省医师协会肾脏内科医师分会常务委员、广东省肾脏病学会委员、广东省及广州市医疗事故技术鉴定专家库成员。 发表论文10余篇，参与编写论著1本。 曾获广州市卫生局嘉奖奖励。,,梁 波 ，副主任医师。从事内科临床工作二十余年。现任我院肾内科副主任、广州医科大学第三临床学院内科学教研室副主任；兼任广州市肾脏病学会副主任委员、广东省医师协会肾脏内科医师分会常务委员、广东省肾脏病学会委员、广东省及广州市医疗事故技术鉴定专家库成员。主持市局级课题1项。发表论文10余篇，参与编写论著1本。曾获广州市卫生局嘉奖奖励。,医院官网,https://www.gy3y.cn/ks/nkxt/snk/doctor_25.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
10,广州医科大学附属第三医院,周鹏志,荔湾院区内镜中心,荔湾院区内镜中心,主任医师,主任医师,高,肿瘤,肿瘤、癌,消化系统疾病的诊断和治疗，尤对酸相关疾病、功能性胃肠病、肝脏疾病、肠道疾病方面有较深造诣。,周鹏志 ，主任医师。 医学博士，硕士研究生导师，现任广州医科大学附属第三医院肿瘤科主任。 学术任职包括广东省医学会消化病学会委员，广东省抗癌学会内镜学分会委员，广州市医学会消化病学会副主任委员，内镜学会副主任委员，广东省肝脏病学会委员，广东省肝脏病学会消化道早癌委员会委员，广东省基层医药协会消化学会常委，广东省基层医药协会内镜分会副主任委员，广州市医学会肝病学会常委，国家卫健委研究生论文评审专家。 参与国家级项目2项，主持省厅级项目2项，主持临床试验项目2项，发表论文30余篇，第一作者或通讯作者近20篇，参编书籍6部。,,周鹏志 ，主任医师。 医学博士，硕士研究生导师，现任广州医科大学附属第三医院肿瘤科主任。 学术任职包括广东省医学会消化病学会委员，广东省抗癌学会内镜学分会委员，广州市医学会消化病学会副主任委员，内镜学会副主任委员，广东省肝脏病学会委员，广东省肝脏病学会消化道早癌委员会委员，广东省基层医药协会消化学会常委，广东省基层医药协会内镜分会副主任委员，广州市医学会肝病学会常委，国家卫健委研究生论文评审专家。参与国家级项目2项，主持省厅级项目2项，主持临床试验项目2项，发表论文30余篇，第一作者或通讯作者近20篇，参编书籍6部。 擅长消化系统疾病的诊断和治疗，尤对酸相关疾病、功能性胃肠病、肝脏疾病、肠道疾病方面有较深造诣。,医院官网,https://www.gy3y.cn/ks/nkxt/njzx/doctor_27.html,https://www.gy3y.cn/ks/team.html,官网静态两院区总目录+同院区科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
